State,Year,Drug Related Deaths,"Rate per 100,000"
Kentucky,2012,1477,33.7182664199625
Kentucky,2013,1380,31.39720997111684
Kentucky,2014,1523,34.508096487628634
Kentucky,2015,1797,40.609325184651524
Kentucky,2016,2024,45.616674787817104
Kentucky,2017,2146,48.17936553657692
Louisiana,1999,540,12.105422085804577
Louisiana,2000,550,12.307069896996538
Louisiana,2001,579,12.930240348379531
Louisiana,2002,692,15.387122890413222
Louisiana,2003,849,18.7788567325851
Louisiana,2004,867,19.045577142495624
Louisiana,2005,958,20.932441963821397
Louisiana,2006,1010,23.473823781307633
Louisiana,2007,1064,24.316770732846678
Louisiana,2008,895,20.177717217071205
Louisiana,2009,841,18.723639964663302
Louisiana,2010,851,18.771898710275707
Louisiana,2011,804,17.574400481241295
Louisiana,2012,802,17.427610768003515
Louisiana,2013,1134,24.51642751979799
Louisiana,2014,1138,24.474823622119047
Louisiana,2015,1289,27.597434573312405
Louisiana,2016,1356,28.9640482682874
Louisiana,2017,1479,31.5733317849094
Maine,1999,171,13.498493852264906
Maine,2000,157,12.314469187550936
Maine,2001,177,13.76690529302508
Maine,2002,236,18.21043859378376
Maine,2003,245,18.752205297612807
Maine,2004,240,18.269178069678645
Maine,2005,284,21.534940820617734
Maine,2006,266,20.09641747360834
Maine,2007,284,21.401012780323125
Maine,2008,255,19.165597526961488
Maine,2009,301,22.638557750885614
Maine,2010,257,19.347150360481827
Maine,2011,277,20.85548130234575
Maine,2012,283,21.291130250558233
Maine,2013,312,23.488634361764117
Maine,2014,371,27.892870326722495
Maine,2015,461,34.679176245441305
Maine,2016,552,41.457657236802085
Maine,2017,632,47.30868241576697
Maryland,1999,971,18.47936695892994
Maryland,2000,944,17.82313783138481
Maryland,2001,949,17.656829015844817
Maryland,2002,1051,19.318471528414605
Maryland,2003,1111,20.213712247344517
Maryland,2004,996,17.95586211123801
Maryland,2005,971,17.362914780990344
Maryland,2006,1099,19.529559739039588
Maryland,2007,1143,20.217893348578414
Maryland,2008,999,17.572667553802003
Maryland,2009,1064,18.567678139769942
Maryland,2010,965,16.71414754729844
Maryland,2011,1037,17.792528819349897
Maryland,2012,1133,19.253766167513202
Maryland,2013,1227,20.695538770485967
Maryland,2014,1389,23.241389015172494
Maryland,2015,1620,26.971226196852324
Maryland,2016,2442,40.588739500239924
Maryland,2017,2687,44.39724746979475
Massachusetts,1999,860,13.613313820916856
Massachusetts,2000,825,12.993973788713575
Massachusetts,2001,1057,16.52173287812338
Massachusetts,2002,1115,17.37516296032884
Massachusetts,2003,1262,19.649470266163128
Massachusetts,2004,1063,16.577564208430665
Massachusetts,2005,1242,19.396279100275013
Massachusetts,2006,1387,21.63778196978386
Massachusetts,2007,1443,22.436239798157803
Massachusetts,2008,1316,20.343278919184467
Massachusetts,2009,1336,20.498302062426845
Massachusetts,2010,1320,20.159969356846577
Massachusetts,2011,1489,22.6032920351403
Massachusetts,2012,1502,22.59957051788225
Massachusetts,2013,1683,25.146335836711078
Massachusetts,2014,1975,29.279177775458507
Massachusetts,2015,2484,36.55940122647666
Massachusetts,2016,3067,45.02494869548763
Massachusetts,2017,3006,43.82039817668659
Michigan,1999,1327,13.407946314865868
Michigan,2000,1539,15.485321444684901
Michigan,2001,1659,16.604745013572053
Michigan,2002,1754,17.512487881538103
Michigan,2003,1726,17.189262745947875
Michigan,2004,1902,18.91536963287575
Michigan,2005,2122,21.112039364302763
Michigan,2006,2352,23.435442579628443
Michigan,2007,2251,22.50711008706482
Michigan,2008,2352,23.64558406150908
Michigan,2009,2633,26.591686123977446
Michigan,2010,2649,26.801866518812904
Michigan,2011,2602,26.346200208643275
Michigan,2012,2505,25.34563144517654
Michigan,2013,2694,27.22416034080526
Michigan,2014,2945,29.717825962925673
Michigan,2015,3297,33.227258727975475
Michigan,2016,3729,37.55930018230715
Michigan,2017,4080,40.95435286049592
Minnesota,1999,473,9.70558826432277
Minnesota,2000,475,9.65549400658078
Minnesota,2001,541,10.857357997397445
Minnesota,2002,569,11.337066529054471
Minnesota,2003,593,11.734274291530822
Minnesota,2004,654,12.85449867160353
Minnesota,2005,674,13.16509616575364
Minnesota,2006,749,14.505510254078828
Minnesota,2007,692,13.289284093591128
Minnesota,2008,806,15.361106060623387
Minnesota,2009,879,16.643935103422457
Minnesota,2010,856,16.13899140730685
Minnesota,2011,1006,18.82181781715184
Minnesota,2012,1045,19.42690084788662
Minnesota,2013,1105,20.38602459606153
Minnesota,2014,1142,20.926585981422985
Minnesota,2015,1252,22.806786804270043
Minnesota,2016,1419,25.706745276045876
Minnesota,2017,1466,26.288391182737314
Mississippi,1999,248,8.768183373827256
Mississippi,2000,281,9.878164615922195
Mississippi,2001,346,12.127610503211715
Mississippi,2002,359,12.55823927188798
Mississippi,2003,355,12.376617327543169
Mississippi,2004,435,15.057061069362861
Mississippi,2005,416,14.31549070301792
Mississippi,2006,518,17.8314603415241
Mississippi,2007,494,16.86956818686291
Mississippi,2008,492,16.690379217628298
Mississippi,2009,497,16.79749788256893
Mississippi,2010,519,17.490665747311443
Mississippi,2011,476,15.981134203924645
Mississippi,2012,500,16.750834024026055
Mississippi,2013,502,16.782522907976613
Mississippi,2014,548,18.30279027373693
Mississippi,2015,543,18.14637608849015
Mississippi,2016,552,18.469408035397024
Mississippi,2017,601,20.14007573472739
Missouri,1999,687,12.351787539185912
Missouri,2000,650,11.617077532911628
Missouri,2001,743,13.171091952657815
Missouri,2002,762,13.427726846202306
Missouri,2003,886,15.51825996518375
Missouri,2004,949,16.510834430431014
Missouri,2005,973,16.80396525223218
Missouri,2006,1144,19.579975299108085
Missouri,2007,1053,17.885010085583087
Missouri,2008,1174,19.817971760571893
Missouri,2009,1252,21.002877327091966
Missouri,2010,1418,23.67702929088967
Missouri,2011,1357,22.576450482873177
Missouri,2012,1412,23.44740640466238
Missouri,2013,1482,24.51949158950003
Missouri,2014,1581,26.073666932240954
Missouri,2015,1610,26.46428012555575
Missouri,2016,1945,31.921877564418182
Missouri,2017,1976,32.32174134362918
Montana,1999,106,11.810492842952756
Montana,2000,119,13.190053148155332
Montana,2001,161,17.75159020068118
Montana,2002,187,20.511875498400183
Montana,2003,220,23.922664549873318
Montana,2004,214,23.010530005623604
Montana,2005,242,25.74188758241127
Montana,2006,264,27.710949603859383
Montana,2007,260,26.951216225461437
Montana,2008,296,30.314978774394085
Montana,2009,289,29.37045596362535
Montana,2010,259,26.177084438784533
Montana,2011,274,27.44943643501947
Montana,2012,286,28.453719428418502
Montana,2013,343,33.78761088098979
Montana,2014,307,29.99279977412589
Montana,2015,345,33.39951924054334
Montana,2016,312,29.92748340559414
Montana,2017,366,34.84078427938121
Nebraska,1999,123,7.215074931192823
Nebraska,2000,113,6.60330995294119
